Level;Country;State;County;Longitude;Latitude;Zoom factor;
0;India;;;78.96288;20.593684;4;
1;India;Andaman And Nicobar Island;;93.7999999999999;7.0833333;5;
1;India;Andhra Pradesh;;80.0981868999999;17.0477624;5;
1;India;Arunachal Pradesh;;94.0695453999999;28.2390993;5;
1;India;Assam;;92.9375738999999;26.2006043;5;
1;India;Bihar;;85.5218959999999;25.198009;5;
1;India;Chandigarh;;76.7872222;30.7372222;5;
1;India;Chhattisgarh;;81.8661442;21.2786567;5;
1;India;Dadra and Nagar Haveli;;73.0641395999999;20.1394081;5;
1;India;Delhi;;77.22496;28.635308;5;
1;India;Goa;;73.9830028999999;15.4253792;5;
1;India;Gujarat;;71.1923805;22.258652;5;
1;India;Gujarat;;71.1923805;22.258652;5;
1;India;Haryana;;76.085601;29.0587757;5;
1;India;Himachal Pradesh;;77.1698549999999;31.8360855;5;
1;India;Jammu And Kashmir;;76.526947775;33.9017264129056;5;
1;India;Jharkhand;;85.75;23.6101808;5;
1;India;Karnataka;;75.7138883999999;15.3172775;5;
1;India;Kerala;;76.6412712;10.5143884;5;
1;India;Lakshadweep;;72.6166667;10.5666667;5;
1;India;Madhya Pradesh;;78.6568942;22.9734229;5;
1;India;Madhya Pradesh;;78.5666667;22.9734229;5;
1;India;Maharashtra;;75.7138883999999;19.7514798;5;
1;India;Manipur;;93.9062688;24.6637173;5;
1;India;Meghalaya;;91.366216;25.4670308;5;
1;India;Mizoram;;92.9375738999999;23.164543;5;
1;India;Nagaland;;94.5624425999999;26.1584354;5;
1;India;Orissa;;85.0985236;20.9516658;5;
1;India;Puducherry;;79.7851817999999;11.9309645;5;
1;India;Punjab;;75.3412178999999;31.1471305;5;
1;India;Rajasthan;;74.2179326;27.0238036;5;
1;India;Tamil Nadu;;78.1166667;11.1271225;5;
1;India;Tripura;;91.275;23.9408482;5;
1;India;Uttar Pradesh;;80.0981868999999;27.5705886;5;
1;India;Uttar Pradesh;;80.0981868999999;27.5705886;5;
1;India;Uttarakhand;;79.6666667;30.066753;5;
1;India;West Bengal;;87.8549755;22.9867569;5;
2;India;Andaman And Nicobar Island;Yat-kirana;93.2333333;8.2333333;11;
2;India;Andaman And Nicobar Island;Yadita;92.7166667;12.4666667;11;
2;India;Andaman And Nicobar Island;Wrightmyo;92.7166667;11.7833333;11;
2;India;Andaman And Nicobar Island;Wimberleyganj;92.7166667;11.7333333;11;
2;India;Andaman And Nicobar Island;Tusonabad;92.6333333;11.6833333;11;
2;India;Andaman And Nicobar Island;Toinyugeda;92.6333333;10.6833333;11;
2;India;Andaman And Nicobar Island;Toibalawe;92.5;10.5333333;11;
2;India;Andaman And Nicobar Island;Toib∑lew»;92.5;10.5333333;11;
2;India;Andaman And Nicobar Island;Tochangedu;92.35;10.7;11;
2;India;Andaman And Nicobar Island;Titaiji;92.5333333;10.7166667;11;
2;India;Andaman And Nicobar Island;Titaije;92.5333333;10.7166667;11;
2;India;Andaman And Nicobar Island;Thaiapong;92.95;13.2833333;11;
2;India;Andaman And Nicobar Island;Tenlaa;93.9;7.0166667;11;
2;India;Andaman And Nicobar Island;Temain;93.6333333;7.25;11;
2;India;Andaman And Nicobar Island;Taylerabad;92.7;11.6;11;
2;India;Andaman And Nicobar Island;Tapuye;93.45;7.9;11;
2;India;Andaman And Nicobar Island;Tapiyang;93.5666667;8.0666667;11;
2;India;Andaman And Nicobar Island;Tapivang;93.5666667;8.0666667;11;
2;India;Andaman And Nicobar Island;Tamalu;92.8166667;9.2;11;
2;India;Andaman And Nicobar Island;Tamalco;92.8166667;9.2;11;
2;India;Andaman And Nicobar Island;Tamala;92.8166667;9.2;11;
2;India;Andaman And Nicobar Island;Talarom;93.45;8.1666667;11;
2;India;Andaman And Nicobar Island;Talaram;93.45;8.1666667;11;
2;India;Andaman And Nicobar Island;Taka-roait;83.5333333;8.2166667;11;
2;India;Andaman And Nicobar Island;Tafwap;93.7166667;7.3833333;11;
2;India;Andaman And Nicobar Island;Tae-angha;93.75;6.9333333;11;
2;India;Andaman And Nicobar Island;Tabiag;93.15;8.2166667;11;
2;India;Andaman And Nicobar Island;Stewartganj;92.7166667;11.7166667;11;
2;India;Andaman And Nicobar Island;Shake;93.35;7.8833333;11;
2;India;Andaman And Nicobar Island;Shadipur;92.75;11.65;11;
2;India;Andaman And Nicobar Island;Sawi;92.7166667;9.2;11;
2;India;Andaman And Nicobar Island;Sawai;92.7166667;9.2;11;
2;India;Andaman And Nicobar Island;Sanenya;93.0333333;8.4666667;11;
2;India;Andaman And Nicobar Island;Sabari;92.9;12.5;11;
2;India;Andaman And Nicobar Island;Rongat;92.9333333;12.4666667;11;
2;India;Andaman And Nicobar Island;Rangachang;92.75;11.5833333;11;
