"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Sweden;Skåne;Abbekås;;E13.60;N55.40;10;
2;Sweden;Södermanland;Abborrberget;;E;N;10;
2;Sweden;Östergötland;Åby;;E;N;10;
2;Sweden;Gävleborg;Åbyggeby;;E;N;10;
2;Sweden;Örebro;Åbytorp;;E15.07;N59.12;10;
2;Sweden;Skåne;Åhus;;E14.28;N55.92;10;
2;Sweden;Skåne;Åkarp;;E;N;10;
2;Sweden;Stockholm;Åkersberga;;E18.31;N59.48;10;
2;Sweden;Södermanland;Åkers Styckebruk;;E17.08;N59.25;10;
2;Sweden;Västernorrland;Älandsbro;;E17.83;N62.67;10;
2;Sweden;Halland;Åled;;E12.93;N56.75;10;
2;Sweden;Kalmar;Ålem;;E16.38;N56.95;10;
2;Sweden;Gävleborg;Alfta;;E16.08;N61.35;10;
2;Sweden;Västra Götaland;Alingsås;;E12.54;N57.93;10;
2;Sweden;Skåne;Allerum;;E12.68;N56.12;10;
2;Sweden;Kronoberg;Älmhult;;E14.13;N56.55;10;
2;Sweden;Stockholm;Älmsta;;E18.80;N59.97;10;
2;Sweden;Uppsala;Almunge;;E18.05;N59.88;10;
2;Sweden;Uppsala;Alsike;;E17.75;N59.75;10;
2;Sweden;Kronoberg;Alstermo;;E15.63;N56.97;10;
2;Sweden;Stockholm;Älta;;E18.18;N59.27;10;
2;Sweden;Uppsala;Alunda;;E;N;10;
2;Sweden;Västra Götaland;Älvängen;;E;N;10;
2;Sweden;Dalarna;Älvdalen;;E14.03;N61.23;10;
2;Sweden;Kronoberg;Alvesta;;E14.55;N56.90;10;
2;Sweden;Norrbotten;Alvik;;E21.77;N65.52;10;
2;Sweden;Uppsala;Älvkarleby;;E17.45;N60.57;10;
2;Sweden;Norrbotten;Älvsbyn;;E21.00;N65.67;10;
2;Sweden;Västra Götaland;Åmål;;E12.70;N59.05;10;
2;Sweden;Örebro;Åmmeberg;;E15.00;N58.87;10;
2;Sweden;Värmland;Åmotfors;;E12.37;N59.77;10;
2;Sweden;Västra Götaland;Andalen;;E11.75;N57.70;10;
2;Sweden;Skåne;Anderslöv;;E13.33;N55.43;10;
2;Sweden;Jönköping;Anderstorp;;E;N;10;
2;Sweden;Jönköping;Aneby;;E14.80;N57.83;10;
2;Sweden;Västernorrland;Ånge;;E15.62;N62.52;10;
2;Sweden;Skåne;Ängelholm;;E12.87;N56.25;10;
2;Sweden;Västra Götaland;Angered;;E12.10;N57.78;10;
2;Sweden;Kalmar;Ankarsrum;;E16.32;N57.70;10;
2;Sweden;Västernorrland;Ankarsvik;;E17.41;N62.37;10;
